,0
533,0
534,0
535,0
536,0
537,0
538,0
539,1
540,1
541,1
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,1
558,0
559,0
560,1
561,0
562,1
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,1
573,1
574,0
575,1
576,1
577,1
578,0
579,0
580,0
581,1
582,1
583,0
584,0
585,1
586,0
587,1
588,0
589,1
590,1
591,1
592,0
593,1
594,1
595,0
596,1
597,0
598,1
599,0
600,1
601,0
602,1
603,1
604,0
605,1
606,0
607,1
608,1
609,1
610,0
611,1
612,1
613,0
614,1
615,1
616,0
617,0
618,0
619,0
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,1
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,0
678,1
679,1
680,0
681,1
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,1
693,1
694,0
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,0
703,0
704,0
705,1
706,1
707,1
708,1
709,1
710,0
711,1
712,0
713,1
714,1
715,1
716,0
717,0
718,1
719,0
720,0
721,1
722,1
723,1
724,1
725,1
726,1
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,1
746,1
747,1
748,0
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,1
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,0
797,1
798,0
799,1
800,1
801,0
802,0
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,1
812,0
813,0
814,1
815,0
816,0
817,0
818,0
819,1
820,0
821,0
822,1
823,0
824,0
825,0
826,0
827,1
828,0
829,0
830,1
831,0
832,1
833,1
834,0
835,0
836,0
837,1
838,1
839,0
840,0
841,1
842,0
843,0
844,0
845,0
846,0
847,0
848,1
849,0
850,0
851,0
852,0
853,0
854,1
855,1
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,1
864,1
865,0
866,0
867,1
868,0
869,0
870,0
871,0
872,0
873,1
874,1
875,0
876,0
877,1
878,0
879,0
880,0
881,1
882,0
883,1
884,1
885,1
886,0
887,0
888,0
889,0
890,1
891,0
892,0
893,0
894,0
895,0
896,0
897,1
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,1
909,0
910,1
911,0
912,1
913,0
914,0
915,0
916,1
917,1
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,1
926,1
927,1
928,0
929,0
930,1
931,0
932,1
933,0
934,1
935,0
936,0
937,1
938,1
939,1
940,1
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,1
952,1
953,1
954,0
955,1
956,1
957,0
958,0
959,1
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,0
970,1
971,0
972,1
973,1
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,1
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,1
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,1
1109,0
1110,0
1111,0
1112,0
1113,0
1114,1
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,1
1127,0
1128,0
1129,0
1130,0
1131,1
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,1
1146,0
1147,1
1148,1
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,1
1175,0
1176,0
1177,0
1178,0
1179,1
1180,1
1181,0
1182,0
1183,0
1184,1
1185,0
1186,1
1187,0
1188,1
1189,0
1190,0
1191,0
1192,0
1193,1
1194,0
1195,0
1196,1
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,1
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,1
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,1
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,1
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,1
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,1
1299,1
1300,0
1301,0
1302,1
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,1
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,0
1342,0
1343,1
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,1
1353,1
1354,0
1355,0
1356,0
1357,0
1358,1
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,1
1374,1
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,1
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,1
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,1
1423,1
1424,0
1425,0
1426,1
1427,1
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,1
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,1
1444,0
1445,0
1446,1
1447,0
1448,0
1449,1
1450,1
1451,0
1452,0
1453,0
1454,0
1455,0
1456,1
1457,1
1458,1
1459,0
1460,0
1461,1
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,1
1469,0
1470,0
1471,0
1472,1
1473,1
1474,1
1475,1
1476,1
1477,1
1478,0
1479,0
1480,0
1481,0
1482,0
1483,1
1484,1
1485,1
1486,1
1487,0
1488,0
1489,0
1490,0
1491,1
1492,1
1493,0
1494,1
1495,0
1496,0
1497,0
1498,0
1499,0
1500,1
1501,1
1502,0
1503,0
1504,0
1505,1
1506,0
1507,1
1508,1
1509,0
1510,0
1511,1
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,1
1519,1
1520,1
1521,1
1522,0
1523,1
1524,0
1525,1
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,1
1533,0
1534,0
1535,1
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,1
1546,1
1547,0
1548,0
1549,0
1550,0
1551,0
1552,1
1553,0
1554,0
1555,0
1556,1
1557,0
1558,1
1559,1
1560,1
1561,0
1562,1
1563,1
1564,1
1565,0
1566,0
1567,0
1568,0
1569,1
1570,1
1571,1
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,1
1580,0
1581,1
1582,1
1583,0
1584,0
1585,0
1586,1
1587,1
1588,0
1589,0
1590,0
1591,0
1592,0
1593,1
1594,0
1595,1
1596,1
1597,0
1598,0
1599,1
1600,0
1601,0
1602,1
1603,0
1604,1
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,1
1614,0
1615,1
1616,0
1617,0
1618,0
1619,1
1620,0
1621,1
1622,0
1623,0
1624,0
1625,1
1626,0
1627,0
1628,0
1629,0
1630,1
1631,1
1632,0
1633,0
1634,0
1635,1
1636,1
1637,1
1638,1
1639,0
1640,0
1641,1
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,1
1649,0
1650,1
1651,0
1652,1
1653,1
1654,1
1655,0
1656,0
1657,1
1658,1
1659,1
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,1
1671,0
1672,0
1673,1
1674,0
1675,0
1676,1
1677,0
1678,0
1679,0
1680,0
1681,0
1682,1
1683,0
1684,0
1685,1
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,0
1697,1
1698,1
1699,0
1700,0
1701,0
1702,1
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,1
1710,1
1711,1
1712,1
1713,1
1714,0
1715,1
1716,0
1717,1
1718,1
1719,1
1720,1
1721,0
1722,0
1723,0
1724,0
1725,0
1726,1
1727,1
1728,1
1729,0
1730,0
1731,1
1732,0
1733,0
1734,1
1735,1
1736,1
1737,1
1738,1
1739,0
1740,1
1741,0
1742,0
1743,0
1744,0
1745,1
1746,0
1747,0
1748,1
1749,0
1750,1
1751,1
1752,0
1753,0
1754,1
1755,1
1756,1
1757,1
1758,0
1759,1
1760,0
1761,1
1762,1
1763,1
1764,0
1765,0
1766,0
1767,1
1768,1
1769,0
1770,1
1771,0
1772,0
1773,1
1774,1
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,1
1782,1
1783,1
1784,0
1785,1
1786,0
1787,1
1788,0
1789,0
1790,0
1791,0
1792,1
1793,0
1794,0
1795,0
1796,0
1797,1
1798,1
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,1
1808,1
1809,0
1810,1
1811,0
1812,0
1813,1
1814,1
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,1
1822,0
1823,1
1824,1
1825,1
1826,0
1827,0
1828,1
1829,1
1830,1
1831,0
1832,0
1833,0
1834,0
1835,0
1836,1
1837,0
1838,1
1839,0
1840,0
1841,0
1842,0
1843,1
1844,0
1845,0
1846,0
1847,0
1848,1
1849,0
1850,1
1851,1
1852,0
1853,0
1854,0
1855,1
1856,0
1857,0
1858,0
1859,1
1860,1
1861,0
1862,0
1863,0
1864,1
1865,0
1866,0
1867,0
1868,0
1869,1
1870,1
1871,1
1872,0
1873,0
1874,1
1875,0
1876,1
1877,1
1878,1
1879,0
1880,0
1881,0
1882,1
1883,0
1884,0
1885,0
1886,0
1887,0
1888,1
1889,1
1890,1
1891,1
1892,0
1893,0
1894,0
1895,1
1896,0
1897,0
1898,0
1899,1
1900,0
1901,0
1902,1
1903,0
1904,0
1905,1
1906,0
1907,1
1908,0
1909,1
1910,0
1911,0
1912,0
1913,0
1914,1
1915,0
1916,1
1917,1
1918,1
1919,0
1920,0
1921,1
1922,0
1923,0
1924,0
1925,1
1926,1
1927,0
1928,0
1929,1
1930,0
1931,1
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,1
1939,0
1940,0
1941,1
1942,0
1943,0
1944,0
1945,1
1946,1
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,1
1954,0
1955,0
1956,0
1957,0
1958,0
1959,1
1960,0
1961,1
1962,0
1963,0
1964,0
1965,0
1966,1
1967,1
1968,1
1969,0
1970,1
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,1
1978,0
1979,0
1980,0
1981,1
1982,0
1983,1
1984,1
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,1
1993,1
1994,0
1995,1
1996,0
1997,0
1998,1
1999,0
2000,0
2001,0
2002,1
2003,1
2004,0
2005,1
2006,0
2007,1
2008,1
2009,0
2010,0
2011,0
2012,1
2013,0
2014,0
2015,1
2016,1
2017,0
2018,0
2019,1
2020,0
2021,1
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,1
2032,0
2033,0
2034,0
2035,0
2036,1
2037,1
2038,0
2039,1
2040,0
2041,0
2042,0
2043,1
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,1
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,1
2071,0
2072,1
2073,1
2074,0
2075,1
2076,0
2077,0
2078,0
2079,0
2080,0
2081,1
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,1
2091,0
2092,0
2093,0
2094,0
2095,1
2096,0
2097,0
2098,1
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,1
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,1
2120,1
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,1
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,1
2144,0
2145,0
2146,1
2147,0
2148,0
2149,1
2150,0
2151,0
2152,0
2153,1
2154,0
2155,0
2156,0
2157,0
2158,0
2159,1
2160,1
2161,1
2162,0
2163,1
2164,0
2165,0
2166,0
2167,0
2168,0
2169,1
2170,1
2171,0
2172,1
2173,0
2174,0
2175,1
2176,0
2177,1
2178,0
2179,1
2180,0
2181,0
2182,0
2183,0
2184,1
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,1
2196,0
2197,0
2198,0
2199,0
2200,1
2201,0
2202,0
2203,0
2204,0
2205,0
2206,1
2207,0
2208,0
2209,0
2210,1
2211,1
2212,1
2213,1
2214,1
2215,0
2216,0
2217,1
2218,1
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,1
2232,0
2233,0
2234,0
2235,0
2236,0
2237,1
2238,0
2239,0
2240,0
2241,0
2242,0
2243,1
2244,1
2245,1
2246,0
2247,0
2248,0
2249,0
2250,0
2251,1
2252,1
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,1
2261,1
2262,0
2263,0
2264,0
2265,0
2266,1
2267,1
2268,0
2269,0
2270,0
2271,0
2272,1
2273,1
2274,0
2275,0
2276,0
2277,0
2278,0
2279,1
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,1
2292,1
2293,0
2294,0
2295,0
2296,0
2297,1
2298,1
2299,1
2300,1
2301,1
2302,0
2303,0
2304,0
2305,0
2306,1
2307,1
2308,0
2309,0
2310,0
2311,0
2312,0
2313,1
2314,0
2315,0
2316,1
2317,0
2318,0
2319,1
2320,0
2321,0
2322,0
2323,1
2324,0
2325,0
2326,1
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,0
2337,0
2338,1
2339,0
2340,0
2341,1
2342,0
2343,1
2344,0
2345,0
2346,0
2347,0
2348,1
2349,0
2350,0
2351,1
2352,0
2353,1
2354,0
2355,0
2356,0
2357,0
2358,0
2359,0
2360,0
2361,1
2362,0
2363,1
2364,0
2365,0
2366,1
2367,0
2368,0
2369,0
2370,1
2371,0
2372,0
2373,0
2374,0
2375,1
2376,1
2377,0
2378,0
2379,1
2380,1
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,1
2388,0
2389,0
2390,0
2391,0
2392,0
2393,1
2394,1
2395,0
2396,0
2397,0
2398,1
2399,0
2400,0
2401,0
2402,1
2403,1
2404,1
2405,1
2406,1
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,0
2415,1
2416,0
2417,0
2418,0
2419,1
2420,0
2421,1
2422,0
2423,0
2424,1
2425,0
2426,1
2427,0
2428,0
2429,0
2430,0
2431,1
2432,1
2433,0
2434,1
2435,0
2436,0
2437,1
2438,0
2439,1
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2446,0
2447,1
2448,0
2449,0
2450,0
2451,1
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,0
2461,0
2462,0
2463,0
2464,0
2465,1
2466,0
2467,0
2468,0
2469,0
2470,0
2471,0
2472,1
2473,0
2474,1
2475,0
2476,0
2477,1
2478,1
2479,1
2480,1
2481,1
2482,0
2483,1
2484,1
2485,0
2486,1
2487,1
2488,0
2489,1
2490,1
2491,1
2492,1
2493,1
2494,1
2495,1
2496,0
2497,0
2498,0
2499,1
2500,1
2501,1
2502,1
2503,1
2504,0
2505,1
2506,1
2507,1
2508,1
2509,1
2510,0
2511,0
2512,1
2513,1
2514,1
2515,1
2516,0
2517,0
2518,1
2519,1
2520,1
2521,1
2522,0
2523,0
2524,1
2525,1
2526,1
2527,1
2528,0
2529,1
2530,1
2531,0
2532,0
2533,1
2534,1
2535,1
2536,1
2537,1
2538,0
2539,1
2540,1
2541,1
2542,1
2543,1
2544,0
2545,0
2546,1
2547,0
2548,0
2549,0
2550,0
2551,1
2552,1
2553,1
2554,1
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2561,1
2562,1
2563,1
2564,0
2565,1
2566,0
2567,1
2568,0
2569,1
2570,1
2571,1
2572,1
2573,0
2574,1
2575,0
2576,1
2577,1
2578,0
2579,1
2580,0
2581,0
2582,1
2583,1
2584,1
2585,1
2586,1
2587,1
2588,1
2589,1
2590,1
2591,1
2592,0
2593,1
2594,1
2595,1
2596,1
2597,1
2598,1
2599,1
2600,0
2601,1
2602,1
2603,1
2604,1
2605,1
2606,0
2607,0
2608,1
2609,1
2610,1
2611,1
2612,1
2613,0
2614,1
2615,1
2616,1
2617,0
2618,0
2619,1
2620,0
2621,1
2622,1
2623,1
2624,0
2625,0
2626,1
2627,1
2628,1
2629,0
2630,1
2631,1
2632,1
2633,0
2634,1
2635,1
2636,0
2637,1
2638,0
2639,1
2640,1
2641,0
2642,0
2643,0
2644,1
2645,1
2646,1
2647,0
2648,0
2649,0
2650,0
2651,1
2652,1
2653,0
2654,0
2655,1
2656,1
2657,1
2658,1
2659,1
2660,1
2661,1
2662,1
2663,1
2664,0
2665,1
2666,0
2667,0
2668,1
2669,0
2670,1
2671,1
2672,1
2673,0
2674,1
2675,1
2676,1
2677,1
2678,1
2679,0
2680,1
2681,1
2682,1
2683,1
2684,0
2685,0
2686,1
2687,1
2688,1
2689,1
2690,1
2691,0
2692,1
2693,1
2694,1
2695,1
2696,0
2697,1
2698,1
2699,1
2700,1
2701,0
2702,1
2703,1
2704,1
2705,0
2706,1
2707,1
2708,0
2709,1
2710,1
2711,1
2712,0
2713,0
2714,1
2715,0
2716,0
2717,1
2718,0
2719,1
2720,1
2721,1
2722,1
2723,1
2724,1
2725,0
2726,0
2727,1
2728,1
2729,0
2730,0
2731,0
2732,1
2733,0
2734,1
2735,1
2736,1
2737,1
2738,0
2739,1
2740,1
2741,0
2742,0
2743,1
2744,1
2745,1
2746,0
2747,1
2748,1
2749,1
2750,1
2751,1
2752,1
2753,0
2754,1
2755,0
2756,1
2757,0
2758,1
2759,1
2760,1
2761,1
2762,1
2763,1
2764,1
2765,1
2766,0
2767,1
2768,1
2769,0
2770,1
2771,1
2772,0
2773,1
2774,0
2775,1
2776,0
2777,1
2778,0
2779,1
2780,0
2781,0
2782,1
2783,1
2784,1
2785,1
2786,1
2787,1
2788,1
2789,1
2790,1
2791,1
2792,1
2793,1
2794,1
2795,1
2796,1
2797,1
2798,1
2799,0
2800,1
2801,0
2802,1
2803,1
2804,1
2805,1
2806,1
2807,0
2808,1
2809,1
2810,1
2811,1
2812,0
2813,1
2814,1
2815,1
2816,1
2817,1
2818,1
2819,1
2820,1
2821,1
2822,1
2823,1
2824,1
2825,1
2826,1
2827,1
2828,1
2829,1
2830,1
2831,1
2832,1
2833,1
2834,1
2835,1
2836,1
2837,1
2838,1
2839,1
2840,1
2841,1
2842,1
2843,1
2844,1
2845,1
2846,1
2847,1
2848,1
2849,1
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,0
2857,0
2858,1
2859,1
2860,1
2861,1
2862,1
2863,1
2864,1
2865,1
2866,1
2867,1
2868,1
2869,1
2870,0
2871,1
2872,0
2873,0
2874,1
2875,1
2876,1
2877,1
2878,1
2879,1
2880,1
2881,1
2882,1
2883,0
2884,1
2885,1
2886,1
2887,1
2888,0
2889,0
2890,0
2891,1
2892,1
2893,1
2894,1
2895,1
2896,0
2897,0
2898,0
2899,1
2900,1
2901,1
2902,1
2903,1
2904,0
2905,0
2906,1
2907,1
2908,1
2909,0
2910,1
2911,0
2912,1
2913,1
2914,1
2915,1
2916,0
2917,0
2918,1
2919,0
2920,1
2921,1
2922,1
2923,1
2924,1
2925,1
2926,0
2927,1
2928,1
2929,1
2930,1
2931,0
2932,1
2933,1
2934,1
2935,1
2936,1
2937,0
2938,0
2939,1
2940,1
2941,1
2942,1
2943,1
2944,1
2945,1
2946,0
2947,1
2948,0
2949,1
2950,1
2951,0
2952,0
2953,1
2954,1
2955,1
2956,1
2957,0
2958,1
2959,1
2960,1
2961,0
2962,1
2963,1
2964,1
2965,1
2966,1
2967,1
2968,0
2969,1
2970,1
2971,0
2972,1
2973,1
2974,1
2975,1
2976,1
2977,1
2978,0
2979,1
2980,0
2981,0
2982,1
2983,1
2984,1
2985,0
2986,0
2987,0
2988,1
2989,1
2990,1
2991,1
2992,0
2993,0
2994,0
2995,1
2996,1
2997,1
